iter	Passed	Remaining
0	57	57635
1	58	29353
2	59	19912
3	60	15186
4	62	12345
5	63	10450
6	64	9100
7	65	8088
8	66	7297
9	67	6664
10	68	6149
11	69	5716
12	70	5352
13	71	5036
14	72	4762
15	73	4521
16	74	4308
17	75	4121
18	76	3950
19	77	3801
20	78	3661
21	79	3535
22	80	3420
23	81	3316
24	82	3218
25	83	3131
26	84	3049
27	85	2969
28	86	2897
29	87	2830
30	88	2768
31	89	2708
32	90	2651
33	91	2600
34	92	2550
35	93	2502
36	94	2457
37	95	2414
38	96	2374
39	97	2335
40	98	2297
41	99	2263
42	100	2229
43	101	2198
44	102	2168
45	103	2139
46	104	2111
47	105	2085
48	106	2059
49	107	2034
50	108	2010
51	109	1987
52	110	1966
53	111	1944
54	112	1924
55	113	1904
56	113	1885
57	114	1867
58	115	1849
59	117	1841
60	118	1823
61	119	1807
62	120	1792
63	121	1776
64	122	1761
65	123	1747
66	124	1735
67	125	1721
68	126	1707
69	127	1694
70	128	1682
71	129	1669
72	130	1657
73	131	1645
74	132	1633
75	133	1622
76	134	1611
77	135	1602
78	136	1591
79	137	1580
80	138	1571
81	139	1560
82	140	1550
83	141	1540
84	142	1531
85	143	1522
86	144	1513
87	145	1504
88	146	1496
89	147	1488
90	148	1480
91	149	1471
92	150	1464
93	151	1457
94	152	1449
95	153	1442
96	154	1435
97	155	1427
98	156	1420
99	157	1413
100	158	1408
101	159	1401
102	160	1395
103	161	1388
104	162	1382
105	163	1376
106	164	1370
107	165	1364
108	166	1357
109	167	1351
110	168	1346
111	169	1340
112	170	1334
113	171	1329
114	172	1324
115	173	1318
116	174	1313
117	175	1309
118	176	1303
119	177	1298
120	178	1293
121	178	1287
122	179	1282
123	180	1277
124	181	1272
125	182	1267
126	183	1262
127	184	1258
128	185	1253
129	186	1249
130	187	1244
131	188	1240
132	189	1235
133	190	1231
134	191	1226
135	192	1222
136	193	1218
137	194	1214
138	195	1210
139	196	1206
140	197	1202
141	198	1198
142	199	1193
143	200	1190
144	201	1186
145	202	1182
146	203	1178
147	204	1174
148	204	1170
149	206	1167
150	207	1164
151	208	1160
152	208	1156
153	209	1153
154	210	1150
155	211	1146
156	212	1143
157	213	1139
158	214	1136
159	215	1133
160	216	1130
161	217	1126
162	218	1123
163	219	1120
164	220	1117
165	221	1114
166	222	1111
167	223	1108
168	224	1105
169	225	1102
170	226	1099
171	227	1096
172	228	1093
173	229	1090
174	230	1087
175	231	1084
176	232	1080
177	233	1077
178	234	1074
179	235	1071
180	236	1068
181	237	1066
182	238	1063
183	239	1061
184	240	1058
185	241	1055
186	242	1052
187	243	1050
188	244	1048
189	245	1045
190	246	1042
191	247	1040
192	248	1037
193	249	1034
194	250	1032
195	250	1029
196	252	1027
197	252	1024
198	253	1021
199	254	1019
200	255	1016
201	256	1014
202	257	1012
203	258	1009
204	259	1007
205	260	1004
206	261	1002
207	262	999
208	263	997
209	264	994
210	265	992
211	266	990
212	267	988
213	268	985
214	269	983
215	270	981
216	271	979
217	272	976
218	273	974
219	274	972
220	275	970
221	276	967
222	277	965
223	278	963
224	279	961
225	280	958
226	280	956
227	281	954
228	282	952
229	283	950
230	284	948
231	285	946
232	286	944
233	287	942
234	288	940
235	289	938
236	290	936
237	291	934
238	292	932
239	293	930
240	294	928
241	295	926
242	296	924
243	297	922
244	298	920
245	299	918
246	300	916
247	301	914
248	302	912
249	303	910
250	304	908
251	305	906
252	306	904
253	307	902
254	308	900
255	309	898
256	310	897
257	311	895
258	312	893
259	313	891
260	314	889
261	314	887
262	315	885
263	316	883
264	317	881
265	318	879
266	319	877
267	320	875
268	321	874
269	322	872
270	323	870
271	324	868
272	325	867
273	326	865
274	327	863
275	328	861
276	329	859
277	330	858
278	331	856
279	332	854
280	333	853
281	334	851
282	335	849
283	336	847
284	336	845
285	337	843
286	338	841
287	339	840
288	340	838
289	341	836
290	342	835
291	343	833
292	344	831
293	345	830
294	346	828
295	347	826
296	348	825
297	349	823
298	350	821
299	351	820
300	352	818
301	353	817
302	354	815
303	355	813
304	356	812
305	357	810
306	358	808
307	359	807
308	360	805
309	361	804
310	362	802
311	363	800
312	364	799
313	365	797
314	366	796
315	367	794
316	368	793
317	368	791
318	369	789
319	370	788
320	371	786
321	372	785
322	373	783
323	374	781
324	375	780
325	376	778
326	377	777
327	378	775
